Brand,Model,Size_in,Throat_in,Diameter_mm,Z_ohm,Re_ohm,Le_mH,Bl_Tm,Sd_cm2,Mms_g,Mmd_g,Cms_mm_per_N,Vas_L,Fs_Hz,Qms,Qes,Qts,Rms_kg_per_s,Xmax_mm,Power_W,Sensitivity_dB,XO_min_Hz,Freq_low_Hz,Source_URL
18Sound,15MB606,15,,,8.0,5.0,1.3,15.1,850,63,,,223,43,6.20,0.37,0.35,,4.5,400,108.2,,,
18Sound,15MB650,15,,,8.0,5.5,1.36,20,900,77,,,210,40,3.95,0.27,0.26,,4,400,108.6,,,
18Sound,15MB700,15.0,,,8.0,5.0,1.2,17.6,850.0,73.0,,,202.0,42.0,4.6,0.31,0.29,,5.5,400.0,103.0,,,
18Sound,15NCX1000,15,,,8.0,6.3,1.4,27.5,881,110,,,75,53,10.40,0.32,0.31,,7.5,600,106.9,,,
18Sound,15NCX750,15,,,8.0,5.4,0.66,18.4,881,81,,,141,49,6.32,0.40,0.37,,5.5,400,107.4,,,
18Sound,15NCX750H,15,,,8.0,5.4,0.66,18.5,881,80.6,,,141,49,6.32,0.40,0.37,,5.5,400,107.5,,,
18Sound,15NCX750H-8+8,,,,,,,,,,,,,,,,,,,,,,,
18Sound,15NCX910,15,,,8.0,5.0,1.1,21,881,86,,,107,55,8.20,0.34,0.33,,7,450,108.7,,,
18Sound,15NCX910BE,15,,,8.0,5.0,1.1,21,881,86,,,107,55,8.20,0.34,0.33,,7,450,108.7,,,
18Sound,15NCX910N,15,,,8.0,5.0,1.1,21,881,86,,,107,55,8.20,0.34,0.33,,7,450,108.7,,,
18Sound,15ND730,15,,,8.0,5.5,1.35,21,900,86,,,156,44,8.10,0.30,0.29,,6.5,400,108.1,,,
18Sound,15ND830,15,,,4.0,3.0,0.62,14,850,85,,,157,42,7.20,0.36,0.34,,6.5,450,98.0,,,
18Sound,15ND830,15.0,,,8.0,5.7,1.54,18.0,850.0,80.0,,,213.0,39.0,3.9,0.35,0.32,,6.5,450.0,98.0,,,
18Sound,15ND840,15,,,8.0,5.0,0.43,17.9,881,94,,,163,43,6.60,0.39,0.37,,9.5,600,106.6,,,
18Sound,15ND930,15,,,4.0,2.8,0.52,17,850,113,,,182,35,7.10,0.24,0.24,,7.5,500,98.0,,,
18Sound,15ND930,15.0,,,8.0,5.5,1.61,23.8,850.0,101.0,,,206.0,36.0,5.3,0.23,0.22,,7.5,500.0,98.0,,,
18Sound,15ND930,15,,,16.0,10.9,2.5,24.2,850,92,,,195,38,9.50,0.40,0.39,,7.5,500,98.0,,,
18Sound,15ND940,15,,,4.0,2.8,0.39,16.6,881,110,,,170,39,9.10,0.27,0.26,,9.5,600,109.6,,,
18Sound,15ND940,15,,,8.0,5.4,0.7,21.9,881,108,,,174,38,7.50,0.29,0.28,,7.3,600,106.4,,,
18Sound,15ND940,15,,,16.0,10.7,1,26.6,881,102,,,166,41,4.60,0.39,0.36,,9.5,600,102.7,,,
18Sound,15NLW4500,15,,,4.0,3.0,1.1,24.4,881,198,,,126,35,6.38,0.21,0.20,,14.5,1500,107.2,,,
18Sound,15NLW4500,15,,,8.0,5.4,1.62,29.7,881,201,,,111,35,7.80,0.27,0.26,,14.5,1500,103.7,,,
18Sound,15NLW9300,15.0,,,8.0,6.0,0.95,24.4,850.0,107.0,,,170.0,39.0,6.7,0.27,0.26,,8.0,800.0,97.0,,,
18Sound,15NLW9400,15,,,8.0,5.2,1.1,25,900,131,,,118,42,10.40,0.29,0.28,,9.5,1000,106.4,,,
18Sound,15NLW9401,15,,,4.0,2.8,1.23,20,850,150,,,114,40,6.14,0.26,0.25,,10,1200,97.5,,,
18Sound,15NLW9401,15.0,,,8.0,5.2,1.9,25.4,850.0,140.0,,,134.0,39.0,4.13,0.28,0.26,,10.0,1200.0,97.5,,,
18Sound,15NLW9500,15,,,4.0,2.7,0.58,18.2,850,172,,,148,34,7.84,0.30,0.29,,9,1000,96.0,,,
18Sound,15NLW9500,15.0,,,8.0,4.9,0.8,21.6,850.0,146.0,,,163.0,35.0,6.7,0.34,0.32,,9.0,1000.0,96.0,,,
18Sound,15NMB1000,15.0,,,8.0,5.3,0.89,25.2,855.0,100.0,,,124.0,46.0,8.3,0.24,0.24,,6.5,900.0,101.0,,,
18Sound,15NMB420,15,,,8.0,5.6,0.8,19,900,73,,,225,42,6.00,0.30,0.29,,6.5,450,108.5,,,
18Sound,15NTLS3500,15,,,8.0,5.2,1.65,21.6,881,250,,,141,28,8.20,0.44,0.42,,15.3,950,99.3,,,
18Sound,15NTLW3500,15,,,4.0,3.1,0.29,15.8,881,115,,,115,46,9.40,0.41,0.40,,8.3,900,98.0,,,
